"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-9-26","13.32","13.55","13.77","13.30","21.60M","-3.48%"
"2022-9-23","13.80","13.81","14.18","13.71","42.71M","-1.08%"
"2022-9-22","13.95","13.33","14.07","13.24","62.49M","4.10%"
"2022-9-21","13.40","13.28","13.59","13.16","28.28M","0.22%"
"2022-9-20","13.37","13.41","13.70","13.17","34.74M","1.52%"
"2022-9-19","13.17","12.88","13.58","12.88","49.68M","2.09%"
"2022-9-16","12.90","13.61","14.14","12.86","71.62M","-6.39%"
"2022-9-15","13.78","13.90","14.37","13.50","78.72M","1.25%"
"2022-9-14","13.61","13.58","13.98","13.50","29.28M","-2.30%"
"2022-9-13","13.93","14.30","14.37","13.78","25.93M","-1.97%"
"2022-9-9","14.21","13.86","14.32","13.69","38.52M","2.16%"
"2022-9-8","13.91","13.88","14.09","13.53","37.40M","-0.93%"
"2022-9-7","14.04","14.21","14.48","13.93","41.73M","-2.09%"
"2022-9-6","14.34","13.79","14.54","13.67","51.65M","4.06%"
"2022-9-5","13.78","13.29","13.90","13.18","50.45M","4.71%"
"2022-9-2","13.16","13.43","13.58","13.08","30.30M","-2.66%"
"2022-9-1","13.52","13.16","13.87","12.94","50.32M","3.21%"
"2022-8-31","13.10","13.77","13.86","13.05","46.19M","-5.48%"
"2022-8-30","13.86","14.61","14.66","13.57","59.39M","-6.41%"
"2022-8-29","14.81","14.19","14.89","13.72","66.98M","3.35%"
"2022-8-26","14.33","14.70","14.83","14.20","62.85M","-4.28%"
"2022-8-25","14.97","14.16","15.12","14.08","107.58M","5.42%"
"2022-8-24","14.20","13.91","14.53","13.65","108.63M","2.90%"
"2022-8-23","13.80","13.00","14.14","12.90","103.45M","6.07%"
"2022-8-22","13.01","13.00","13.15","12.75","66.79M","1.64%"
"2022-8-19","12.80","12.44","12.88","12.42","35.94M","2.89%"
"2022-8-18","12.44","12.65","12.75","12.38","21.85M","-1.89%"
"2022-8-17","12.68","12.79","12.86","12.63","21.40M","-0.31%"
"2022-8-16","12.72","12.72","12.82","12.52","27.19M","-0.08%"
"2022-8-15","12.73","12.66","13.09","12.66","43.52M","0.71%"
"2022-8-12","12.64","12.47","12.76","12.46","40.17M","2.02%"
"2022-8-11","12.39","12.40","12.50","12.28","19.60M","0.65%"
"2022-8-10","12.31","12.45","12.64","12.18","29.26M","-1.52%"
"2022-8-9","12.50","12.12","12.59","12.03","47.91M","2.88%"
"2022-8-8","12.15","11.45","12.22","11.36","54.48M","5.65%"
"2022-8-5","11.50","11.46","11.63","11.25","27.92M","0.17%"
"2022-8-4","11.48","11.60","11.70","11.18","33.86M","-0.86%"
"2022-8-3","11.58","11.63","12.08","11.56","30.31M","-0.60%"
"2022-8-2","11.65","11.82","11.92","11.45","37.65M","-3.08%"
"2022-8-1","12.02","11.91","12.32","11.70","42.24M","0.50%"
"2022-7-29","11.96","12.31","12.69","11.92","62.26M","-3.00%"
"2022-7-28","12.33","12.03","12.34","11.85","49.44M","4.58%"
"2022-7-27","11.79","11.69","11.86","11.57","23.16M","0.51%"
"2022-7-26","11.73","11.55","11.82","11.45","23.72M","1.21%"
