"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-9-26","3,052.79","3,067.57","3,102.65","3,048.51","259.55K","-1.15%"
"2022-9-23","3,088.37","3,106.81","3,124.66","3,072.24","24.31B","-0.66%"
"2022-9-22","3,108.91","3,098.77","3,125.68","3,092.82","22.11B","-0.27%"
"2022-9-21","3,117.18","3,116.01","3,129.82","3,091.30","23.30B","-0.17%"
"2022-9-20","3,122.41","3,127.84","3,140.03","3,114.04","21.99B","0.22%"
"2022-9-19","3,115.60","3,122.75","3,135.56","3,101.22","24.91B","-0.35%"
"2022-9-16","3,126.40","3,189.83","3,191.83","3,126.40","31.65B","-2.30%"
"2022-9-15","3,199.92","3,248.97","3,254.18","3,174.39","32.52B","-1.16%"
"2022-9-14","3,237.54","3,224.68","3,250.80","3,221.96","25.52B","-0.80%"
"2022-9-13","3,263.80","3,272.05","3,278.17","3,259.66","27.62B","0.05%"
"2022-9-9","3,262.05","3,241.18","3,266.20","3,236.51","28.38B","0.82%"
"2022-9-8","3,235.59","3,245.56","3,253.70","3,233.80","28.17B","-0.33%"
"2022-9-7","3,246.29","3,232.14","3,253.77","3,227.82","30.10B","0.09%"
"2022-9-6","3,243.45","3,207.93","3,244.64","3,203.82","31.89B","1.36%"
"2022-9-5","3,199.91","3,183.95","3,199.91","3,172.04","28.07B","0.42%"
"2022-9-2","3,186.48","3,189.64","3,198.28","3,173.79","25.05B","0.05%"
"2022-9-1","3,184.98","3,196.54","3,214.56","3,181.63","27.47B","-0.54%"
"2022-8-31","3,202.14","3,216.53","3,232.02","3,184.39","34.44B","-0.78%"
"2022-8-30","3,227.22","3,240.18","3,243.75","3,212.63","29.43B","-0.42%"
"2022-8-29","3,240.73","3,203.10","3,240.73","3,199.00","29.70B","0.14%"
"2022-8-26","3,236.22","3,250.63","3,266.27","3,232.28","30.99B","-0.31%"
"2022-8-25","3,246.25","3,223.46","3,248.35","3,199.12","33.62B","0.97%"
"2022-8-24","3,215.20","3,279.17","3,281.88","3,212.39","36.61B","-1.86%"
"2022-8-23","3,276.22","3,274.43","3,284.60","3,262.63","31.66B","-0.05%"
"2022-8-22","3,277.79","3,249.70","3,278.17","3,247.19","31.45B","0.61%"
"2022-8-19","3,258.08","3,275.62","3,286.49","3,258.06","33.35B","-0.59%"
"2022-8-18","3,277.54","3,286.37","3,289.14","3,270.56","30.17B","-0.46%"
"2022-8-17","3,292.53","3,282.10","3,296.00","3,263.35","32.61B","0.45%"
"2022-8-16","3,277.88","3,278.68","3,295.02","3,271.57","30.36B","0.05%"
"2022-8-15","3,276.09","3,268.37","3,286.89","3,261.82","28.71B","-0.02%"
"2022-8-12","3,276.89","3,275.77","3,288.22","3,272.84","29.99B","-0.15%"
"2022-8-11","3,281.67","3,243.47","3,281.67","3,237.90","30.06B","1.60%"
"2022-8-10","3,230.02","3,242.36","3,253.17","3,217.81","25.76B","-0.54%"
"2022-8-9","3,247.43","3,235.74","3,248.77","3,227.54","25.96B","0.32%"
"2022-8-8","3,236.93","3,218.85","3,237.97","3,214.08","25.43B","0.31%"
"2022-8-5","3,227.03","3,195.23","3,228.89","3,184.45","27.47B","1.19%"
"2022-8-4","3,189.04","3,179.43","3,191.00","3,155.70","26.09B","0.80%"
"2022-8-3","3,163.67","3,188.89","3,217.55","3,159.46","32.49B","-0.71%"
"2022-8-2","3,186.27","3,231.26","3,231.26","3,155.19","39.42B","-2.26%"
"2022-8-1","3,259.96","3,246.62","3,264.30","3,225.55","29.22B","0.21%"
"2022-7-29","3,253.24","3,282.81","3,294.80","3,246.37","30.73B","-0.89%"
"2022-7-28","3,282.58","3,287.50","3,305.71","3,277.11","28.81B","0.21%"
"2022-7-27","3,275.76","3,271.78","3,282.57","3,265.73","24.91B","-0.05%"
"2022-7-26","3,277.44","3,254.19","3,282.41","3,246.04","25.95B","0.83%"
